GSSCode,AccomType2011,Ethnic2011,HouseholdComp2011,Soecono2011,Tenure2011,Income2011,Qualification2011,Depriavation2011,Umemploy2011,HousingPrice2011,ChangAccomType,ChangeEthnic,ChangeHousehold,ChangeSoecono,ChangeTenure,ChangeIncome,ChangeQualification,ChangeDepriavation,ChangeUmemploy,ChangeHousingPrice
E01001544,8.03,7.33,65.02,72.44,17.22,42440,32.4,10.03,5.49,355000,2.4,3.37,1.07,4.31,3.45,6.6,12.28,1.61,2.57,70.06
E01001545,30.91,19.63,63.71,91.12,40.3,27490,14.7,48.71,12.52,163500,2.19,14.9,-8.77,2.94,12.1,0.41,5.01,3.55,3.33,127.48
E01001546,27.74,16.76,70.61,91.87,34.08,31840,18.1,24.75,10.56,225000,5.27,12.33,5.43,5.93,9.35,4.95,8.68,2.26,5.65,95.12
E01001547,31.83,24.59,76.16,90.56,31.05,30270,19.9,30.53,10.66,227500,3.52,17.73,8.24,7.74,9.77,-4.6,7.09,4.43,6.61,71.46
E01001548,24.95,22.81,73.25,93.32,41.06,30350,19.9,33.58,10.22,200000,7.9,18.26,3.04,10.23,16.83,0.97,9.99,8.21,4.18,66.84
E01001549,16.22,31.19,51.94,91.64,34.25,26150,17.1,44.99,16.11,147500,-0.08,22.08,-4.7,2.12,4.5,-8.51,3.75,9.64,7.9,95.36
E01001550,20.76,18.48,63.96,91.79,36.49,29910,17.2,29.8,12.35,228000,4.23,12.83,0.88,1.65,12.34,-4.16,5.74,2.8,6.12,80.96
E01001551,30.85,15.2,74.09,92.36,40.3,28990,16.6,40.49,12.69,230000,4.35,11.52,-1.7,13.08,6.84,0.34,6.68,6.77,6.24,96.58
E01001552,26.48,16.12,78.17,88.95,25.9,33280,19.4,22.61,6.54,241000,0.73,10.88,14.11,7.51,7.75,5.26,8.8,7.54,2.75,94.06
E01001553,36.8,40.84,64.15,93.09,33.94,27550,17.8,45.23,12.35,185000,6.7,21.64,-6.5,0.65,6.79,1.26,0.27,5.65,3.63,63.81
E01001554,4.07,40.48,57.29,89.82,20.29,25700,18.2,51.51,13.08,106250,-0.03,22.29,-2.92,7.62,7,4.6,2.51,-11.07,1.13,68.15
E01001555,25.55,49.86,70.88,89.05,32.61,29820,21.1,37.28,13.31,204000,7.88,25.01,0.43,-2.26,6.52,5.12,2.19,0.03,5.83,92.91
E01001556,15.36,28.84,76.81,88.17,23.55,33240,25.4,20.58,8.53,284000,1.77,10.75,15.8,-0.15,4.98,1.97,7.53,-0.48,2.09,73.97
E01001557,19.01,40.49,68.19,94.07,36.61,31240,22.3,32.47,9.07,201000,8.98,23.24,-5.32,5.86,11.59,16.91,8.88,-0.64,-1.68,80.67
E01001558,31.53,47.4,57.38,85.69,35.44,28570,21,52.23,11.82,190500,4.58,20.34,-9.95,-6.29,3.26,11.62,6.65,5.94,0.17,86.31
E01001559,30.94,40.24,62.99,91.31,39.12,29830,22.4,45.78,11.82,180000,17.62,17.22,-4.94,-0.61,15.48,8.25,6.47,9.55,1.14,68.42
